,address,speed,heading,timestamp,rssi,receiver,callsign,altitude,latitude,longitude,distance
14682,A7E941,,,2025-05-25T11:17:15.60067956+02:00,-91.88607076156865,zi-5067,,43000.0,52.0745,6.28175,43.357959969780396
9980,4BCDEE,,,2025-05-25T10:48:12.565236929+02:00,-91.88607076156865,zi-5067,,40000.0,52.01207,6.11168,56.854496938052115
4361,4868A6,,,2025-05-25T10:24:36.112280324+02:00,-91.8999455930198,zi-5067,,19450.0,51.99577,5.6707,85.45875408691033
13050,3C4D4A,,,2025-05-25T11:07:20.206356416+02:00,-91.91381832999868,zi-5067,,17475.0,52.29478,6.41327,30.892665967061212
9775,407CB2,,,2025-05-25T10:47:28.871801019+02:00,-91.92768897345348,zi-5067,,37000.0,52.26956,6.65848,13.999766235169098
599,4079F7,,,2025-05-24T22:00:44.246657271+02:00,-91.92768897345348,zi-5067,,38000.0,52.15303,5.87298,67.81385750775588
6029,46B82F,,,2025-05-25T10:31:41.77115012+02:00,-91.94155752433171,zi-5067,,24725.0,52.27377,6.7511,8.239612288710672
14888,4CADF5,,,2025-05-25T11:20:23.580657408+02:00,-91.95542398358022,zi-5067,,36000.0,52.10895,5.60334,86.77016341953853
18089,501C42,,,2025-05-25T11:44:41.211285313+02:00,-91.95542398358022,zi-5067,,15150.0,52.08292,5.5532,90.67801417849586
17877,461FA8,,,2025-05-25T11:44:04.511990842+02:00,-91.96928835214504,zi-5067,,35025.0,52.20827,5.92186,63.857064809063516
6676,471FAE,,,2025-05-25T10:34:36.314819883+02:00,-91.96928835214504,zi-5067,,35050.0,51.99075,5.81726,76.23654673117072
17876,503E44,,,2025-05-25T11:44:04.291349105+02:00,-91.96928835214504,zi-5067,,36325.0,52.59532,6.53074,45.41365166342696
811,3C5DB0,,,2025-05-24T22:01:26.957000174+02:00,-91.98315063097156,zi-5067,,23025.0,51.87456,6.0237,69.97084340691598
15323,06A0F4,,,2025-05-25T11:27:01.823046049+02:00,-91.98315063097156,zi-5067,,37000.0,51.88894,5.33501,111.14833551408165
13905,51118A,,,2025-05-25T11:10:32.335487777+02:00,-92.01086892318754,zi-5067,,34000.0,51.874,5.80208,82.82033813585889
2481,06A1D1,,,2025-05-25T10:15:31.507267414+02:00,-92.01086892318754,zi-5067,,41000.0,52.16369,6.02082,57.66483566344578
18265,485873,,,2025-05-25T12:22:19.144179761+02:00,-92.01086892318754,zi-5067,,24825.0,52.17023,6.2574,41.636038128531
19298,3C7A4D,,,2025-05-25T12:26:31.896491713+02:00,-92.01086892318754,zi-5067,,39000.0,51.90668,6.55123,42.4861297204586
7105,4BC899,,,2025-05-25T10:35:49.606406533+02:00,-92.01086892318754,zi-5067,,36000.0,51.91343,6.6268,39.499633637534856
8639,3C4A8B,,,2025-05-25T10:42:17.469636226+02:00,-92.01086892318754,zi-5067,,35000.0,51.86787,6.01138,71.09195388715797
17205,484ACB,,,2025-05-25T11:42:00.2094348+02:00,-92.02472493846425,zi-5067,,21125.0,52.50292,6.61055,33.81470384871315
1077,4079F7,,,2025-05-24T22:02:59.141612779+02:00,-92.02472493846425,zi-5067,,38000.0,52.11085,5.46044,96.35831613492049
19324,4843F3,,,2025-05-25T12:26:45.218950065+02:00,-92.03857886777696,zi-5067,,19350.0,51.9327,5.91582,72.83007060077925
15381,3C4B33,,,2025-05-25T11:27:40.81733211+02:00,-92.03857886777696,zi-5067,,32000.0,51.93855,5.77843,80.97127158416743
2765,471F55,,,2025-05-25T10:16:25.686556281+02:00,-92.03857886777696,zi-5067,,35025.0,51.96356,5.52981,95.74878501893548
10935,405457,,,2025-05-25T10:52:17.013921924+02:00,-92.03857886777696,zi-5067,,37025.0,51.99486,6.81252,27.32416049846262
286,4D2417,,,2025-05-24T21:58:33.393561345+02:00,-92.05243071206756,zi-5067,,18225.0,52.08852,5.96649,63.06755772326439
9950,4BCDEE,,,2025-05-25T10:48:06.553302425+02:00,-92.05243071206756,zi-5067,,40000.0,52.00783,6.12951,55.983399218630474
2714,4075DF,,,2025-05-25T10:16:16.399568965+02:00,-92.05243071206756,zi-5067,,35025.0,51.84389,4.98401,135.48756679882678
607,4079F7,,,2025-05-24T22:00:46.213265261+02:00,-92.05243071206756,zi-5067,,38025.0,52.15243,5.86686,68.23666707376455
5666,484165,,,2025-05-25T10:30:34.265878572+02:00,-92.05243071206756,zi-5067,,16300.0,52.1906,5.69099,79.68882580584607
4050,48520D,,,2025-05-25T10:24:04.220502924+02:00,-92.05243071206756,zi-5067,,27225.0,52.22617,6.95572,6.806141037616456
10550,4852F6,,,2025-05-25T10:50:04.738761948+02:00,-92.06628047227716,zi-5067,,17375.0,52.30623,6.21704,44.247320657678905
