address,speed,heading,timestamp,rssi,receiver,callsign,altitude,latitude,longitude,distance
4850F6,,,2025-05-24T21:57:14.642244321+02:00,-395.2217731856381,zi-5067,,24050.0,52.10925,6.4978,28.48643901912471
44CE6C,,,2025-05-24T21:57:14.748952415+02:00,-70.96654141213308,zi-5067,,37825.0,52.1212,5.55733,89.64402491300487
485A81,,,2025-05-24T21:57:14.753208268+02:00,-99.77574855645032,zi-5067,,20275.0,52.35109,6.34277,37.189564972726195
4079F7,,,2025-05-24T21:57:14.862298773+02:00,-636.4651600834094,zi-5067,,37975.0,52.21522,6.51113,23.773004157560784
4850F6,,,2025-05-24T21:57:15.623357553+02:00,-119.41356706840308,zi-5067,,24075.0,52.10843,6.50116,28.33591641267445
485A81,,,2025-05-24T21:57:15.842653682+02:00,-109.45272952284012,zi-5067,,20250.0,52.35159,6.34056,37.34961171587063
4079F7,,,2025-05-24T21:57:15.951234007+02:00,-710.2347147246464,zi-5067,,37975.0,52.2149,6.50807,23.984174823971273
4850F6,,,2025-05-24T21:57:16.170255433+02:00,-81.83092325032145,zi-5067,,24100.0,52.10801,6.50304,28.25004722349833
4850F6,,,2025-05-24T21:57:16.607734791+02:00,-438.6749935886476,zi-5067,,24100.0,52.1076,6.50467,28.178571960637534
4079F7,,,2025-05-24T21:57:16.936439448+02:00,-668.9597521525491,zi-5067,,37975.0,52.21463,6.50482,24.20757594301674
485A81,,,2025-05-24T21:57:17.701744899+02:00,-113.73719708169354,zi-5067,,20200.0,52.35242,6.33652,37.639082006860484
4079F7,,,2025-05-24T21:57:17.917502217+02:00,-653.2065140520264,zi-5067,,37975.0,52.21436,6.50208,24.396462255465064
4850F6,,,2025-05-24T21:57:18.575355475+02:00,-448.4083518401503,zi-5067,,24150.0,52.106,6.51154,27.873394653369516
4079F7,,,2025-05-24T21:57:18.900392476+02:00,-553.1888014050899,zi-5067,,37975.0,52.21404,6.49902,24.607649979143716
485A81,,,2025-05-24T21:57:19.668604832+02:00,-109.88289220802298,zi-5067,,20150.0,52.35339,6.33205,37.96126193534484
4079F7,,,2025-05-24T21:57:19.88268798+02:00,-542.1680090156556,zi-5067,,37975.0,52.21378,6.49614,24.805892067396506
4850F6,,,2025-05-24T21:57:20.758337664+02:00,-458.074066063557,zi-5067,,24200.0,52.10422,6.51909,27.545907384689443
4079F7,,,2025-05-24T21:57:20.866161097+02:00,-391.9011354921034,zi-5067,,37975.0,52.21344,6.49292,25.028176818207697
4079F7,,,2025-05-24T21:57:21.743447134+02:00,-225.12496529705453,zi-5067,,37975.0,52.21321,6.49017,25.217241436102025
485A81,,,2025-05-24T21:57:21.848610966+02:00,-87.14298594838256,zi-5067,,20075.0,52.35443,6.32713,38.31484931314957
4850F6,,,2025-05-24T21:57:22.724739743+02:00,-398.20428174493554,zi-5067,,24250.0,52.10262,6.52596,27.252945758782772
4079F7,,,2025-05-24T21:57:22.941987132+02:00,-306.80726849277875,zi-5067,,37975.0,52.21285,6.48672,25.4553604643242
4850F6,,,2025-05-24T21:57:23.707805614+02:00,-149.18579020804896,zi-5067,,24275.0,52.10179,6.52939,27.110906726691454
4079F7,,,2025-05-24T21:57:24.034806795+02:00,-428.14337551806176,zi-5067,,37975.0,52.21252,6.48335,25.6876837699871
4850F6,,,2025-05-24T21:57:24.58190388+02:00,-341.77163428230847,zi-5067,,24300.0,52.10108,6.53239,26.986965425122406
4079F7,,,2025-05-24T21:57:25.017348868+02:00,-477.61956618212366,zi-5067,,37975.0,52.21225,6.48029,25.898253692435393
