,address,speed,heading,timestamp,rssi,receiver,callsign,altitude,latitude,longitude,distance
11898,502D29,,,2025-05-25T11:00:34.044299135+02:00,-66.84010771984138,zi-5110,,26325.0,52.23166,6.77464,5.735019123657543
2051,4081E1,,,2025-05-25T10:14:06.358830602+02:00,-38.35818035308766,zi-5110,,23000.0,52.20279,6.9177,5.7227842467517975
6734,48418D,,,2025-05-25T10:34:44.117601596+02:00,-100.4634261808744,zi-5110,,27975.0,52.23381,6.94115,5.691541886223177
4116,48520D,,,2025-05-25T10:24:11.148867473+02:00,-182.1484284862211,zi-5110,,27000.0,52.23352,6.94108,5.690180946066927
11369,48978A,,,2025-05-25T10:58:14.668440362+02:00,-48.82878249557324,zi-5110,,25950.0,52.2735,6.91864,5.6349791420861735
5635,46B82F,,,2025-05-25T10:30:28.416126454+02:00,-46.82947789587238,zi-5110,,27100.0,52.21802,6.93329,5.6336014539172945
4121,48520D,,,2025-05-25T10:24:11.694988269+02:00,-26.04419321077157,zi-5110,,26975.0,52.23409,6.93985,5.600341715094891
4561,48520D,,,2025-05-25T10:25:01.828945985+02:00,-63.794984128848256,zi-5110,,25525.0,52.28701,6.83365,5.5897580283359565
11262,48978A,,,2025-05-25T10:57:35.787308621+02:00,-74.07833691437733,zi-5110,,25225.0,52.26746,6.79039,5.585285082117254
11894,502D29,,,2025-05-25T11:00:33.062369959+02:00,-61.120782063059366,zi-5110,,26375.0,52.23102,6.77727,5.568737568226595
7434,4841A5,,,2025-05-25T10:36:40.881589326+02:00,-143.80716254762834,zi-5110,,27975.0,52.23417,6.93896,5.5391535015533355
4125,48520D,,,2025-05-25T10:24:12.131857271+02:00,-139.96106601480284,zi-5110,,26975.0,52.23459,6.93896,5.534794531200919
3436,46A5E1,,,2025-05-25T10:18:57.338123576+02:00,-39.1152144312159,zi-5110,,26925.0,52.20886,6.92253,5.52741468672209
15656,4BB02A,,,2025-05-25T11:30:21.102156994+02:00,-99.78852639457104,zi-5110,,25325.0,52.22253,6.93449,5.521889861541622
6741,48418D,,,2025-05-25T10:34:45.102470157+02:00,-78.49076378784959,zi-5110,,27975.0,52.23492,6.93881,5.521463984835297
6999,48418D,,,2025-05-25T10:35:32.613399559+02:00,-40.30322567735739,zi-5110,,27375.0,52.28645,6.83475,5.5083529404997185
2038,4081E1,,,2025-05-25T10:14:04.17559587+02:00,-44.62678567855857,zi-5110,,23000.0,52.2014,6.91025,5.490811039284787
11366,48978A,,,2025-05-25T10:58:13.687686036+02:00,-53.70335185069924,zi-5110,,25925.0,52.27332,6.91527,5.455176400763648
11265,48978A,,,2025-05-25T10:57:36.879344022+02:00,-68.04998163115108,zi-5110,,25250.0,52.26764,6.79402,5.395282871143624
11365,48978A,,,2025-05-25T10:58:13.357423304+02:00,-404.66133988806,zi-5110,,25925.0,52.27328,6.91393,5.387231904069777
15725,4BB02A,,,2025-05-25T11:31:17.354224263+02:00,-42.42994225779715,zi-5110,,24375.0,52.25528,6.78368,5.373780574102741
4135,48520D,,,2025-05-25T10:24:13.116821613+02:00,-138.8727835106649,zi-5110,,26925.0,52.23569,6.93672,5.3730488980212066
7443,4841A5,,,2025-05-25T10:36:41.970616352+02:00,-115.1852855185939,zi-5110,,27975.0,52.23534,6.93653,5.362975236390583
6992,48418D,,,2025-05-25T10:35:31.629355742+02:00,-72.68837596204774,zi-5110,,27400.0,52.2854,6.83693,5.355006614542026
6749,48418D,,,2025-05-25T10:34:46.192156871+02:00,-112.5992895181848,zi-5110,,27950.0,52.23608,6.93645,5.351877302304202
10145,407CB2,,,2025-05-25T10:48:48.001686451+02:00,-43.73213921133976,zi-5110,,37000.0,52.22388,6.93245,5.341814449426733
6535,4CA8D5,,,2025-05-25T10:34:12.004378525+02:00,-47.55891083698196,zi-5110,,37000.0,52.22433,6.93245,5.3262530248516935
15659,4BB02A,,,2025-05-25T11:30:22.085159566+02:00,-86.1867159137648,zi-5110,,25325.0,52.2231,6.93176,5.325435891510797
11362,48978A,,,2025-05-25T10:58:12.921729971+02:00,-30.08737276666077,zi-5110,,25925.0,52.27323,6.9126,5.3196670876695284
4551,48520D,,,2025-05-25T10:24:59.864668663+02:00,-111.44976446812258,zi-5110,,25575.0,52.28494,6.83777,5.2905803585292075
4143,48520D,,,2025-05-25T10:24:13.769213217+02:00,-35.4922526757601,zi-5110,,26925.0,52.23627,6.93551,5.286721293602616
11360,48978A,,,2025-05-25T10:58:12.374071923+02:00,-359.89185875759955,zi-5110,,25900.0,52.27314,6.91126,5.249112904636683
2021,4081E1,,,2025-05-25T10:14:01.118510792+02:00,-37.55196399657413,zi-5110,,23000.0,52.19963,6.90043,5.2458822360131645
11881,502D29,,,2025-05-25T11:00:31.09640216+02:00,-42.06780241467338,zi-5110,,26450.0,52.22964,6.78291,5.218434445573408
11268,48978A,,,2025-05-25T10:57:38.077805344+02:00,-39.98562241606351,zi-5110,,25275.0,52.26783,6.79763,5.2119082343063114
4150,48520D,,,2025-05-25T10:24:14.313641693+02:00,-223.81286826275203,zi-5110,,26900.0,52.23688,6.93436,5.204995453004682
